;stop_id;stop_name;lon;lat;count;geometry;color
4889;1001078;Больница;37.66567803;55.83293273;104;POINT (37.66567803 55.83293273);green
4890;1001079;Больница;37.66578244;55.83307405;104;POINT (37.66578244 55.83307405);green
4891;1001080;Городок Моссовета;37.66742093;55.83608166;104;POINT (37.66742093 55.83608166);green
4892;1001081;Больница;37.52959115;55.89030243;110;POINT (37.52959115 55.89030243);green
4893;1001082;Платф. Лось;37.71287141;55.87995098;244;POINT (37.71287141 55.87995098);yellow
4894;1001083;Платф. Лось;37.71303658;55.88024325;230;POINT (37.71303658 55.88024325);yellow
4895;1001084;Палехская ул.;37.71162476;55.87675175;244;POINT (37.71162476 55.87675175);yellow
4896;1001085;Палехская ул.;37.71209088;55.87679553;230;POINT (37.71209088 55.87679553);yellow
4897;1001086;Поликлиника;37.71024752;55.87135996;244;POINT (37.71024752 55.87135996);yellow
4898;1001087;Ул. Молодцова;37.65454321;55.87831448;189;POINT (37.65454321 55.87831448);green
4899;1001088;Госпиталь;37.46421077;55.88082162;271;POINT (37.46421077 55.88082162);yellow
4900;1001089;Дворец спорта «Динамо»;37.49583425;55.85677782;46;POINT (37.49583425 55.85677782);blue
4901;1001090;Дворец спорта «Динамо»;37.49599758;55.85632094;45;POINT (37.49599758 55.85632094);blue
4902;1001098;МЗТО (Московский Завод Торгового Оборудования);37.53393722;55.84537457;25;POINT (37.53393722 55.84537457);blue
4903;1001099;Ветлечебница;37.52913007;55.84525318;68;POINT (37.52913007 55.84525318);blue
4904;1001100;Завод «Красная звезда»;37.52606068;55.84518499;68;POINT (37.52606068 55.84518499);blue
4905;1001101;Клинская ул., 19;37.49445833;55.86911801;114;POINT (37.49445833 55.86911801);green
4906;1001102;Клинская ул., 19;37.49442287;55.86928172;114;POINT (37.49442287 55.86928172);green
4907;1001103;Енисейская ул., 30;37.66638665;55.87272154;161;POINT (37.66638665 55.87272154);green
4908;1001104;Староватутинский проезд, 5;37.67343181;55.87373826;161;POINT (37.67343181 55.87373826);green
4909;1001105;Янтарный пр.;37.69366469;55.87323061;161;POINT (37.69366469 55.87323061);green
4910;1001106;Норильская ул., 4;37.69579639;55.8764414;161;POINT (37.69579639 55.8764414);green
4911;1001107;Ул. Малыгина;37.69402876;55.88097109;321;POINT (37.69402876 55.88097109);orange
4912;1001108;Метро «Алексеевская»;37.63649093;55.80794285;185;POINT (37.63649093 55.80794285);green
4913;1001109;Новоалексеевская ул.;37.63568998;55.80492971;185;POINT (37.63568998 55.80492971);green
4914;1001110;Ул. Годовикова;37.62988147;55.80927616;185;POINT (37.62988147 55.80927616);green
4915;1001111;3-я Новоостанкинская ул.;37.62044804;55.81712006;185;POINT (37.62044804 55.81712006);green
4916;1001112;Аргуновская ул.;37.62078729;55.82072914;185;POINT (37.62078729 55.82072914);green
4917;1001113;Ул. Бочкова;37.63168361;55.81030868;185;POINT (37.63168361 55.81030868);green
4918;1001114;Окружной проезд, 4;37.7457278;55.79846143;368;POINT (37.7457278 55.79846143);orange
4919;1001116;Окружной пр.;37.74371376;55.7927141;368;POINT (37.74371376 55.7927141);orange
4920;1001118;Лечебная ул.;37.7410549;55.79043124;368;POINT (37.7410549 55.79043124);orange
4921;1001119;Лечебная ул.;37.74158296;55.79035415;362;POINT (37.74158296 55.79035415);orange
4922;1001120;Больница №36;37.73648745;55.79023257;368;POINT (37.73648745 55.79023257);orange
4923;1001121;Больница №36;37.73667806;55.7900898;362;POINT (37.73667806 55.7900898);orange
4924;1001122;Мироновская ул., 27;37.73276593;55.78937557;112;POINT (37.73276593 55.78937557);green
4925;1001123;Мироновская ул., 27;37.73301825;55.7893039;112;POINT (37.73301825 55.7893039);green
4926;1001124;Мироновская ул.;37.7332685;55.78696679;112;POINT (37.7332685 55.78696679);green
4927;1001126;Платф. Останкино;37.60344277;55.81786196;773;POINT (37.60344277 55.81786196);red
4928;1001127;Богатырский мост;37.6889031;55.81714268;190;POINT (37.6889031 55.81714268);green
4929;1001128;Преображенский вал;37.71686754;55.78872459;190;POINT (37.71686754 55.78872459);green
4930;1001129;Рубцовская наб.;37.69697222;55.77493126;126;POINT (37.69697222 55.77493126);green
4931;1001131;Борисовская ул.;37.73608578;55.78721704;256;POINT (37.73608578 55.78721704);yellow
4932;1001132;Оренбургская ул.;37.86265395;55.71263992;350;POINT (37.86265395 55.71263992);orange
4933;1001133;Ул. Чёрное Озеро;37.86172645;55.71510571;177;POINT (37.86172645 55.71510571);green
4934;1001134;Б. Косинская ул., 24;37.85558553;55.71406806;173;POINT (37.85558553 55.71406806);green
4935;1001138;Ул. Барболина;37.68721774;55.78716539;122;POINT (37.68721774 55.78716539);green
4936;1001139;Ул. Барболина;37.6855212;55.78820064;116;POINT (37.6855212 55.78820064);green
4937;1001140;РГСУ;37.69449133;55.79323237;122;POINT (37.69449133 55.79323237);green
4938;1001141;Российский технологический университет МИРЭА;37.69821938;55.79300454;238;POINT (37.69821938 55.79300454);yellow
4939;1001142;Метро «Новогиреево»;37.81735159;55.75278265;152;POINT (37.81735159 55.75278265);green
4940;1001143;Верхняя Первомайская ул.;37.80613719;55.7992958;56;POINT (37.80613719 55.7992958);blue
4941;1001144;Строительный колледж № 26;37.76826468;55.66900866;458;POINT (37.76826468 55.66900866);pink
4942;1001145;Цимлянская ул., 2;37.77442124;55.67120875;458;POINT (37.77442124 55.67120875);pink
4943;1001146;Метро «Люблино»;37.76195917;55.67632054;227;POINT (37.76195917 55.67632054);yellow
4944;1001147;Васильцовский стан;37.75094916;55.7153128;147;POINT (37.75094916 55.7153128);green
4945;1001148;Метро «Кузьминки»;37.76794331;55.7047081;156;POINT (37.76794331 55.7047081);green
4946;1001149;Волгоградский просп., 141;37.77537315;55.70371258;156;POINT (37.77537315 55.70371258);green
4947;1001150;Есенинский бульв.;37.78085474;55.70300952;156;POINT (37.78085474 55.70300952);green
4948;1001151;Волгоградский просп., 163;37.78672862;55.70224428;156;POINT (37.78672862 55.70224428);green
4949;1001153;Волгоградский просп., 62;37.75546269;55.70635174;156;POINT (37.75546269 55.70635174);green
4950;1001154;Метро «Кузьминки»;37.76360964;55.7052528;156;POINT (37.76360964 55.7052528);green
4951;1001155;Волжский бульв., 44;37.75185836;55.69972472;349;POINT (37.75185836 55.69972472);orange
4952;1001156;Квартал 113А;37.75512219;55.69675035;258;POINT (37.75512219 55.69675035);yellow
4953;1001157;Платф. Чухлинка;37.76413825;55.73257513;338;POINT (37.76413825 55.73257513);orange
4954;1001158;Платф. Чухлинка;37.76431375;55.73244564;337;POINT (37.76431375 55.73244564);orange
4955;1001161;Рынок «Садовод»;37.83495608;55.65630634;204;POINT (37.83495608 55.65630634);yellow
4956;1001162;Ул. Летчика Грицевца, 4;37.30304386;55.62396776;540;POINT (37.30304386 55.62396776);red
4957;1001164;Мкр. Солнцево-Парк;37.31065347;55.62416674;540;POINT (37.31065347 55.62416674);red
4958;1001165;Ул. Летчика Ульянина;37.30770841;55.62566586;393;POINT (37.30770841 55.62566586);orange
4959;1001171;Гипермаркет REAL;37.75976079;55.62489723;135;POINT (37.75976079 55.62489723);green
4960;1001172;Рынок «Садовод»;37.83538121;55.65387776;214;POINT (37.83538121 55.65387776);yellow
4961;1001174;Тихая ул.;37.74914999;55.68506268;27;POINT (37.74914999 55.68506268);blue
4962;1001175;Кубанская ул.;37.7445161;55.68365809;27;POINT (37.7445161 55.68365809);blue
4963;1001176;Ставропольская ул.;37.7450773;55.68033836;27;POINT (37.7450773 55.68033836);blue
4964;1001177;Краснодарская ул.;37.74562063;55.67699742;27;POINT (37.74562063 55.67699742);blue
4965;1001178;Детская поликлиника;37.74611745;55.67407503;27;POINT (37.74611745 55.67407503);blue
4966;1001179;Совхозная ул.;37.74556341;55.67070253;27;POINT (37.74556341 55.67070253);blue
4967;1001180;Сквер Судакова;37.74655134;55.67170717;27;POINT (37.74655134 55.67170717);blue
4968;1001181;Детская поликлиника;37.74662574;55.67300068;27;POINT (37.74662574 55.67300068);blue
4969;1001182;Краснодарская ул.;37.74581711;55.67767474;27;POINT (37.74581711 55.67767474);blue
4970;1001183;Ставропольская ул.;37.74538193;55.68024197;27;POINT (37.74538193 55.68024197);blue
4971;1001187;ТРЦ «РИО»;37.60065343;55.68872917;228;POINT (37.60065343 55.68872917);yellow
4972;1001188;ТРЦ «РИО»;37.60055889;55.68913211;228;POINT (37.60055889 55.68913211);yellow
4973;1001189;ДАС;37.59535833;55.68906308;228;POINT (37.59535833 55.68906308);yellow
4974;1001190;Сормовский пр.;37.80285254;55.70634359;123;POINT (37.80285254 55.70634359);green
4975;1001191;Сормовский пр.;37.80303659;55.70643373;117;POINT (37.80303659 55.70643373);green
4976;1001192;Луховицкая ул.;37.77153311;55.72457355;123;POINT (37.77153311 55.72457355);green
4977;1001193;Луховицкая ул.;37.7710239;55.7247138;117;POINT (37.7710239 55.7247138);green
4978;1001194;Платф. Плющево;37.77382446;55.72945059;123;POINT (37.77382446 55.72945059);green
4979;1001195;Платф. Плющево;37.77361252;55.72947776;117;POINT (37.77361252 55.72947776);green
4980;1001196;Ферганская ул.;37.80943128;55.70780047;117;POINT (37.80943128 55.70780047);green
4981;1001197;Чугунные ворота, 9;37.80004027;55.6961761;188;POINT (37.80004027 55.6961761);green
4982;1001198;Детская школа искусств имени Балакирева;37.82235989;55.70270325;340;POINT (37.82235989 55.70270325);orange
4983;1001199;Квартал 137А;37.81966963;55.70118246;340;POINT (37.81966963 55.70118246);orange
4984;1001200;Самаркандский бульв.;37.81141112;55.69676561;340;POINT (37.81141112 55.69676561);orange
4985;1001201;Самаркандский бульв.;37.81445074;55.69648943;338;POINT (37.81445074 55.69648943);orange
4986;1001202;Квартал 137А;37.82081568;55.69988653;338;POINT (37.82081568 55.69988653);orange
4987;1001203;2-й часовой завод;37.5532266;55.65300985;129;POINT (37.5532266 55.65300985);green
4988;1001204;Витаминный институт;37.55607081;55.6559525;129;POINT (37.55607081 55.6559525);green
4989;1001205;Научный пр.;37.55109022;55.65801298;129;POINT (37.55109022 55.65801298);green
4990;1001206;Университет им. Витте;37.6562145;55.7009906;58;POINT (37.6562145 55.7009906);blue
4991;1001207;Университет им. Витте;37.6552017;55.6999703;48;POINT (37.6552017 55.6999703);blue
4992;1001208;Ст. ЗИЛ;37.6509703;55.6981595;58;POINT (37.6509703 55.6981595);blue
4993;1001209;Ст. ЗИЛ;37.65035;55.6981816;48;POINT (37.65035 55.6981816);blue
4994;1001214;Префектура САО;37.56534185;55.81699963;432;POINT (37.56534185 55.81699963);pink
4995;1001215;Мосфильмовская ул., 74;37.50489618;55.70984985;197;POINT (37.50489618 55.70984985);green
4996;1001216;Мосфильмовская ул., 74;37.50464942;55.70925831;197;POINT (37.50464942 55.70925831);green
4997;1001217;Налоговая инспекция;37.50099748;55.70766224;197;POINT (37.50099748 55.70766224);green
4998;1001218;Ул. Столетова;37.49602334;55.7048953;197;POINT (37.49602334 55.7048953);green
4999;1001219;ЖК «Мосфильмовский»;37.49430211;55.70240315;197;POINT (37.49430211 55.70240315);green
5000;1001220;Раменский бульв.;37.4980664;55.7002501;197;POINT (37.4980664 55.7002501);green
5001;1001221;Винницкая ул., 2;37.49759174;55.69821166;197;POINT (37.49759174 55.69821166);green
5002;1001222;Винницкая ул., 6;37.49428224;55.69945917;197;POINT (37.49428224 55.69945917);green
5003;1001223;Винницкая ул., 14;37.49126338;55.70201753;197;POINT (37.49126338 55.70201753);green
5004;1001224;ЖК «Мосфильмовский»;37.49511318;55.70397384;197;POINT (37.49511318 55.70397384);green
5005;1001225;Ул. Столетова;37.49940078;55.70633611;197;POINT (37.49940078 55.70633611);green
5006;1001226;Налоговая инспекция;37.50077165;55.70714999;197;POINT (37.50077165 55.70714999);green
5007;1001227;Ул. Акад. Виноградова;37.48256802;55.63114213;262;POINT (37.48256802 55.63114213);yellow
5008;1001228;Ул. Акад. Виноградова;37.48367278;55.6319885;255;POINT (37.48367278 55.6319885);yellow
5009;1001230;Поликлиника Газпром;37.5044733;55.69649842;287;POINT (37.5044733 55.69649842);yellow
5010;1001231;Поликлиника Газпром;37.50465602;55.69706065;287;POINT (37.50465602 55.69706065);yellow
5011;1001232;Никулинский суд;37.50892965;55.69437305;225;POINT (37.50892965 55.69437305);yellow
5012;1001233;Никулинский суд;37.50872881;55.69472381;287;POINT (37.50872881 55.69472381);yellow
5013;1001234;Ул. Светланова;37.51254684;55.69677124;225;POINT (37.51254684 55.69677124);yellow
