post_index;post_address;post_coordinates;post_lat;post_lon
117312;г Москва , Ферсмана ул, 3, к.1;[55.695477, 37.57435];55.695477;37.57435
117321;г Москва , Профсоюзная ул, 152, к.1;[55.6223, 37.505962];55.6223;37.505962
117335;г Москва , Нахимовский пр-кт, 56;[55.683594, 37.555733];55.683594;37.555733
117342;г Москва , Введенского ул, 13А;[55.64243, 37.541584];55.64243;37.541584
117393;г Москва , Архитектора Власова ул, 39;[55.66859, 37.54396];55.66859;37.54396
117403;г Москва , Востряковский пр., 11, к.1, стр.2;[55.579674, 37.64586];55.579674;37.64586
117405;г Москва , Варшавское ш, 143К;[55.58321, 37.599583];55.58321;37.599583
117418;г Москва , Новочерёмушкинская ул, 56, к.1;[55.66896, 37.56464];55.66896;37.56464
117420;г Москва , Каховка ул, 19, к.1;[55.653423, 37.57858];55.653423;37.57858
117437;г Москва , Академика Арцимовича ул, 8;[55.6435, 37.511265];55.6435;37.511265
117447;г Москва , Винокурова ул, 28, к.1;[55.68408, 37.598194];55.68408;37.598194
117449;г Москва , Шверника ул, 13, к.1;[55.69177, 37.58887];55.69177;37.58887
117452;г Москва , Симферопольский б-р, 22, к.1;[55.647892, 37.604824];55.647892;37.604824
117461;г Москва , Каховка ул, 19, стр.1;[55.65359, 37.577812];55.65359;37.577812
117463;г Москва , Паустовского ул, 8, к.1;[55.599052, 37.5383];55.599052;37.5383
117465;г Москва , Генерала Тюленева ул, 41А;[55.61382, 37.494095];55.61382;37.494095
117485;г Москва , Бутлерова ул, 12;[55.651882, 37.528156];55.651882;37.528156
117513;г Москва , Ленинский пр-кт, 135, к.2;[55.6421, 37.47738];55.6421;37.47738
117519;г Москва , Кировоградская ул, 17, к.1Б;[55.608963, 37.603764];55.608963;37.603764
117525;г Москва , Чертановская ул, 32, стр.4;[55.618763, 37.5929];55.618763;37.5929
117534;г Москва , Академика Янгеля ул, 4, к.2;[55.59602, 37.59389];55.59602;37.59389
117535;г Москва , Россошанская ул, 7, к.1Б;[55.594532, 37.611355];55.594532;37.611355
117545;г Москва , Подольских Курсантов ул, 16, к.3;[55.60595, 37.61493];55.60595;37.61493
117546;г Москва , Харьковская ул, 8, к.2, стр.2;[55.58806, 37.643986];55.58806;37.643986
117556;г Москва , Фруктовая ул, 8, к.1, стр.2;[55.66006, 37.6167];55.66006;37.6167
117570;г Москва , Чертановская ул, 45А, к.1;[55.60726, 37.592506];55.60726;37.592506
117574;г Москва , Вильнюсская ул, 6;[55.60407, 37.52128];55.60407;37.52128
117587;г Москва , Варшавское ш, 128, к.1, стр.2;[55.62318, 37.613716];55.62318;37.613716
117588;г Москва , Тарусская ул, 14, к.1;[55.605114, 37.53074];55.605114;37.53074
117593;г Москва , Рокотова ул, 2А;[55.6119, 37.554276];55.6119;37.554276
117623;г Москва , Мелитопольская 2-Я ул, 3;[55.540035, 37.573746];55.540035;37.573746
117624;г Москва , Скобелевская ул, 23;[55.5462, 37.55783];55.5462;37.55783
117628;г Москва , Куликовская ул, 1А;[55.573708, 37.5666];55.573708;37.5666
117630;г Москва , Академика Челомея ул, 4А;[55.662697, 37.534035];55.662697;37.534035
117638;г Москва , Криворожская ул, 23, к.1;[55.668247, 37.61065];55.668247;37.61065
117639;г Москва , Балаклавский пр-кт, 6Б;[55.64269, 37.61268];55.64269;37.61268
117647;г Москва , Академика Капицы ул, 20;[55.62587, 37.525517];55.62587;37.525517
117648;г Москва , Чертаново Северное мкр, 2, к.202;[55.633076, 37.605236];55.633076;37.605236
119002;г Москва , Арбат ул, 47/23;[55.749397, 37.59127];55.749397;37.59127
119017;г Москва , Ордынка Б. ул, 34-38;[55.736866, 37.623985];55.736866;37.623985
119019;г Москва , Никитский б-р, 5;[55.753445, 37.600193];55.753445;37.600193
119021;г Москва , Комсомольский пр-кт, 3;[55.732998, 37.593285];55.732998;37.593285
119027;г Москва , Внуковская Б. ул, 15;[55.60876, 37.311573];55.60876;37.311573
119034;г Москва , Пречистенка ул, 15;[55.742256, 37.595657];55.742256;37.595657
119048;г Москва , Усачёва ул, 29, к.9;[55.72354, 37.562004];55.72354;37.562004
119049;г Москва , Донская ул, 3;[55.726494, 37.61059];55.726494;37.61059
119071;г Москва , Ленинский пр-кт, 25;[55.71718, 37.595005];55.71718;37.595005
119072;г Москва , Серафимовича ул, 2;[55.743187, 37.614124];55.743187;37.614124
