;route_id;service_id;monday;tuesday;wednesday;thursday;friday;saturday;sunday;start_date;end_date;count
134;141046;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1479
135;141047;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;6564
136;141047;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3511
137;141047;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;5739
138;141047;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3476
139;141048;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2580
140;141048;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1892
141;141048;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;2258
142;141048;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1891
143;141049;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1719
144;141049;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1541
145;141051;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1956
146;141051;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1560
147;141051;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1956
148;141051;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1392
149;141052;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4784
150;141052;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3717
151;141052;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4494
152;141052;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3390
153;141053;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;864
154;141053;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;864
155;141053;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;864
156;141053;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;864
157;141054;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;2185
158;141054;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1624
159;141054;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1950
160;141054;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1624
161;141055;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;960
162;141055;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;675
163;141055;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;930
164;141055;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;675
165;141056;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;592
166;141056;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;624
167;141057;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4334
168;141057;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;4085
169;141058;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;940
170;141058;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;815
171;141059;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3432
172;141059;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2574
173;141059;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;3432
174;141059;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2574
175;141061;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;1640
176;141061;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;1184
177;141061;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;1514
178;141061;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;1184
179;141062;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;5035
180;141062;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;4332
181;141062;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4674
182;141062;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3914
183;141063;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4675
184;141063;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2585
185;141063;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4510
186;141063;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2585
187;141064;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4935
188;141064;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2835
189;141064;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4445
190;141064;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;2835
191;141065;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;3978
192;141065;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;2470
193;141066;1;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20201001.0;20210430.0;4704
194;141066;2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20201001.0;20210430.0;3381
195;141066;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;20200501.0;20200930.0;4704
196;141066;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;20200501.0;20200930.0;3381
