Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1979;Нет;Исправный;51;17;B;1;1;9;1;;475471;1;;;;;;33;;;;;
1980;Нет;Исправный;84;28;B;3;3;9;1;;475472;3;;;;;;56;;;;;
1988;Нет;Исправный;133;54;С (Нормальный);4;4;9;9;;266045;11;04.04.2016;;;;;90;;;;;
1980;Нет;Исправный;212;24;;4;4;;;1;540848;4;;;;;;20;;;;;
1990;Нет;Исправный;176;;;5;5;;;;820629;2;;;;Нет;Многоквартирный дом;;;;;;
1980;Нет;Исправный;84;84;B;3;3;9;1;1;475473;3;;;;;;;;;;;
1987;Нет;Исправный;64;54;С (Нормальный);2;2;9;1;;266055;1;04.04.2016;;;;;18;;;;;
1987;Нет;Исправный;108;45;С (Нормальный);3;3;9;9;1;266046;;04.04.2016;На счете регионального оператора;;;;63;;;;;
1987;Нет;Исправный;141;81;D (Пониженный);4;4;9;9;;266056;2;04.04.2016;;;;;54;;;;;
1989;Нет;Исправный;279;160;D (Пониженный);8;8;9;1;;266057;2;04.04.2016;;;;;142;;;;;
1989;Нет;Исправный;60;30;С (Нормальный);3;;5;5;1;536575;;;На счете регионального оператора;0;;;30;;;;;
1991;Нет;Исправный;59;54;D (Пониженный);2;2;10;10;1;266058;1;04.04.2016;На счете регионального оператора;;;;;;;;;
2003;Нет;Исправный;106;127;B;2;2;10;10;1;159054;6;;;;;;10;;;;;
1958;Нет;Исправный;56;49;Не присвоен;6;;5;5;;363494;13;;На счете регионального оператора;0;;;;;;;;
1959;Нет;Исправный;56;49;;6;;;;1;363495;13;;;;Нет;;;;;;;
1977;Нет;Исправный;83;34;Не присвоен;1;2;13;13;;334705;2;;;;;;59;;;;;
1976;Нет;Исправный;70;34;Не присвоен;1;2;13;13;;334706;2;;;;;;59;;;;;
1960;Нет;Исправный;50;40;;3;;;;1;363496;10;;;;Нет;;;;;;;
1960;Нет;Исправный;58;36;;3;;;;1;363497;2;;;;Нет;;;;;;;
1960;Нет;Исправный;70;55;Не присвоен;4;;5;5;1;363498;8;;;;;;;;;;;
