Год ввода в эксплуатацию;Дом признан аварийным;Состояние дома;Количество квартир;Количество балконов;Класс энергетической эффективности;Количество подъездов;Количество лифтов;Наибольшее количество этажей;Наименьшее количество этажей;Подземных этажей;house_id;Количество нежилых помещений;Дата проведения энергетического обследования;Формирование фонда кап. ремонта;Площадь парковки м2;Наличие в подъездах приспособлений для нужд маломобильных групп населения;Тип дома;Количество лоджий;Износ здания, %;Дата, на которую установлен износ здания;Основание признания дома аварийным;Площадь многоквартирного дома, кв.м;Дата документа о признании дома аварийным
1985;Нет;Исправный;108;36;Не присвоен;2;2;9;;1;646308;;;;;;;72;;;;;
2006;Нет;Исправный;77;;Не присвоен;2;2;10;10;1;247597;3;;На счете регионального оператора;;;;120;;;;;
1976;Нет;Исправный;100;85;;6;;5;5;1;540863;1;;На специальном счете организации;;Нет;;;;;;;
1976;Нет;Исправный;103;;Не присвоен;7;;5;1;1;616763;5;;;;;;;;;;;
1976;Нет;Исправный;70;44;Не присвоен;4;;5;;1;646309;;;На счете регионального оператора;;;;;;;;;
1975;Нет;Исправный;119;;Не присвоен;8;;5;1;1;700104;2;;;;;;;;;;;
1976;Нет;Исправный;179;;Не присвоен;5;5;9;;;646310;1;;На счете регионального оператора;0;;;189;;;;;
1975;Нет;Исправный;110;68;Не присвоен;8;;5;;1;646311;4;;На счете регионального оператора;0;;;;;;;;
1976;Нет;Исправный;54;;;4;;5;;;536418;2;;;;;;;;;;;
1975;Нет;Исправный;89;60;Не присвоен;6;;5;;1;646312;;;На счете регионального оператора;;;;;;;;;
1977;Нет;Исправный;143;;Не присвоен;4;4;9;;1;646313;3;;;;;;144;;;;;
1977;Нет;Исправный;27;;Не присвоен;1;1;9;;;646314;;;На счете регионального оператора;;;;27;;;;;
1986;Нет;Исправный;144;;Не присвоен;4;4;9;;1;646301;;;На счете регионального оператора;0;;;99;;;;;
1970;Нет;Исправный;90;60;Не присвоен;6;;5;;1;646303;;;На счете регионального оператора;;;;;;;;;
1970;Нет;Исправный;90;60;Не присвоен;6;;5;;1;646304;;;На счете регионального оператора;;;;;;;;;
2006;Нет;Исправный;117;;Не присвоен;3;3;10;10;1;247595;2;;На счете регионального оператора;;;;120;;;;;
2005;Нет;Исправный;79;;A;2;2;10;1;;652371;7;;;;;;160;;;;;
2006;Нет;Исправный;70;72;Не присвоен;1;2;16;16;;247596;4;;;;;;14;;;;;
1964;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313542;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313543;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;32;;Не присвоен;2;;4;4;1;313544;;;На счете регионального оператора;0;Нет;;;;;;;
1950;Нет;Исправный;24;18;Не присвоен;2;;3;3;;855777;;;На счете регионального оператора;;;;;;;;;
1964;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313545;;;На счете регионального оператора;;;;;;;;;
1950;Нет;Исправный;24;18;Не присвоен;2;;3;3;1;855778;;;На счете регионального оператора;;;;;;;;;
1957;Нет;Исправный;32;22;Не присвоен;3;;3;3;1;1157024;1;;На счете регионального оператора;0;;;;;;;;
1938;Нет;Исправный;13;6;;3;;;;1;857510;3;;;;;Многоквартирный дом;;48;;;;
1938;Нет;Исправный;13;6;;3;;;;1;857511;3;;;;Нет;;;;;;;
1946;Нет;Исправный;12;15;Не присвоен;1;;3;;1;918053;;;;;;;;;;;;
1946;Нет;Исправный;16;20;Не присвоен;2;;2;;1;918054;;;;;Нет;Многоквартирный дом;;;;;;
1946;Нет;Исправный;8;4;Не присвоен;1;;2;;1;918055;;;;;;;;;;;;
1946;Нет;Исправный;3;8;Не присвоен;2;;2;2;;926380;2;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;8;;;2;;;;1;1219153;3;;;;Нет;Многоквартирный дом;;33;;;;
1956;Нет;Исправный;17;12;Не присвоен;2;;3;3;1;918056;1;;На счете регионального оператора;0;;;;;;;;
1948;Нет;Исправный;6;;;1;;2;;1;1356074;;;;;Нет;Многоквартирный дом;;46;;;;
1950;Нет;Исправный;30;12;Не присвоен;3;;3;3;1;918057;;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;4;14;;2;;;;;795716;1;;;;;;;;;;;
1950;Нет;Исправный;16;8;;2;;;;1;826496;1;;;;Нет;Многоквартирный дом;;;;;;
1946;Нет;Исправный;6;2;;1;;2;;1;942889;;;;;Нет;;;;;;;
1950;Нет;Исправный;17;10;Не присвоен;2;;3;3;1;826497;1;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;20;4;Не присвоен;2;;2;2;1;918058;;;На счете регионального оператора;;;;;;;;;
1947;Нет;Исправный;2;8;Не присвоен;2;;2;2;;363833;4;;На счете регионального оператора;0;;;;;;;;
1947;Нет;Исправный;12;;;2;;;;1;1244354;;;;;;Многоквартирный дом;;44;;;1018.5;
1950;Нет;Исправный;16;6;Не присвоен;2;;2;2;1;313550;;;На счете регионального оператора;;;;;;;;;
1949;Нет;Исправный;20;;;2;;;;;313549;;;;;Нет;Многоквартирный дом;;48;13.02.2012;;;
1947;Нет;Исправный;16;;;2;;;;1;826498;1;;;;Нет;Многоквартирный дом;;44;;;;
1950;Нет;Исправный;20;8;;2;;;;;313551;;;;;Нет;Многоквартирный дом;;;;;;
1946;Нет;Исправный;16;;;2;;;;1;1231132;1;;;;;Многоквартирный дом;;44;;;;
1947;Нет;Исправный;14;4;;2;;;;1;826499;1;;;;Нет;Многоквартирный дом;;44;;;;
1950;Нет;Исправный;42;29;Не присвоен;6;;3;3;1;313552;6;;На счете регионального оператора;0;;;;;;;;
1946;Нет;Исправный;16;;;2;;;;1;1246185;;;;;Нет;Многоквартирный дом;;;;;;
1947;Нет;Исправный;14;8;;2;;;;1;826501;;;;;;Многоквартирный дом;;;;;;
1953;Нет;Исправный;74;53;Не присвоен;6;;4;4;1;363834;5;;;;;;;;;;;
1953;Нет;Исправный;27;3;Не присвоен;3;;4;4;1;926378;1;;;;;;;;;;;
1947;Нет;Исправный;16;6;;2;;;;1;826503;;;;;;Многоквартирный дом;;;;;;
1953;Нет;Исправный;8;7;Не присвоен;2;;4;4;;926376;;;На счете регионального оператора;;;;;;;;;
1953;Нет;Исправный;26;53;Не присвоен;2;;4;4;1;926375;3;;;;;;;;;;;
1950;Нет;Исправный;41;21;Не присвоен;5;;3;3;;363838;12;;На счете регионального оператора;0;;;;;;;;
1957;Нет;Исправный;104;21;Не присвоен;8;;5;4;;363839;10;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;43;23;Не присвоен;4;;3;3;;363840;4;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;52;28;Не присвоен;1;;3;3;1;363841;2;;;;;;;;;;;
1950;Нет;Исправный;18;10;Не присвоен;2;;3;3;1;926370;;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;27;14;Не присвоен;3;;3;3;1;363844;;;На счете регионального оператора;0;;;;;;;;
1950;Нет;Исправный;23;14;Не присвоен;3;;3;3;1;926371;1;;;;;;;;;;;
1953;Нет;Исправный;70;66;Не присвоен;4;;5;5;;363845;1;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;12;2;Не присвоен;2;;6;6;;926365;;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;79;5;Не присвоен;5;;5;5;;363847;9;;На счете регионального оператора;0;;;;;;;;
1953;Нет;Исправный;92;66;Не присвоен;6;;5;5;1;363850;;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;32;24;Не присвоен;2;;4;4;1;313546;;;На счете регионального оператора;;;;;;;;;
1949;Нет;Исправный;16;8;Не присвоен;2;;2;;1;918059;1;;;;;;;;;;;
1951;Нет;Исправный;24;5;Не присвоен;3;;3;3;;926364;2;;На счете регионального оператора;0;;;;;;;;
1951;Нет;Исправный;18;14;;3;;;;;820663;1;;;;Нет;;;;;;;
2006;Нет;Исправный;11;;Не присвоен;2;;4;4;;313553;12;;На счете регионального оператора;;;;;;;;;
2013;Нет;Исправный;25;;А (Очень высокий);2;;5;1;;432401;1;;Не определен;0;Нет;;;;;;;
1969;Нет;Исправный;60;36;Не присвоен;3;;5;5;;363851;;;На счете регионального оператора;;;;;;;;;
1965;Нет;Исправный;60;;A;3;;5;5;1;464624;;;На специальном счете организации;;;;;;;;;
1965;Нет;Исправный;60;60;;3;;;;1;1148801;;;;;Нет;Многоквартирный дом;;36;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334943;3;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;73;64;Не присвоен;4;;5;5;1;334942;8;;;;;;;;;;;
1961;Нет;Исправный;48;48;Не присвоен;3;;4;4;1;334944;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;;334946;;;На счете регионального оператора;;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;1;334945;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;48;48;Не присвоен;3;;4;4;1;334947;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;76;56;Не присвоен;4;;5;5;1;334948;4;;;;;;;;;;;
1962;Нет;Исправный;74;62;Не присвоен;4;;5;5;1;334949;4;;;;;;;;;;;
1963;Нет;Исправный;64;56;Не присвоен;4;;5;5;1;334950;3;;;;;;;;;;;
1960;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334951;;;На счете регионального оператора;0;;;;;;;;
1961;Нет;Исправный;79;64;Не присвоен;4;;5;5;1;334952;1;;;;;;;;;;;
1961;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334953;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;32;32;Не присвоен;2;;5;5;1;334954;2;;;;;;;;;;;
1961;Нет;Исправный;48;36;Не присвоен;3;;4;4;1;334955;1;;;;;;;;;;;
1960;Нет;Исправный;31;32;Не присвоен;2;;4;4;1;334956;1;;;;;;;;;;;
1961;Нет;Исправный;64;62;Не присвоен;4;;5;5;1;334957;3;;;;;;;;;;;
1965;Нет;Исправный;65;56;Не присвоен;4;;5;5;1;334959;3;;;;;;;;;;;
1965;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334960;;;;;;;;;;;;
1962;Нет;Исправный;79;62;Не присвоен;4;;5;5;1;334961;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334964;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;38;32;Не присвоен;2;;5;5;1;334962;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334965;;;На счете регионального оператора;0;;;;;;;;
1962;Нет;Исправный;80;64;;4;;5;5;1;334963;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;40;32;Не присвоен;2;;5;5;1;334966;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;60;64;Не присвоен;3;;5;5;1;334968;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334969;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334970;;;На счете регионального оператора;0;;;;;;;;
1981;Нет;Исправный;70;;;4;;;;1;1135423;;;;;;Многоквартирный дом;;;;;;
1967;Нет;Исправный;80;64;;4;;5;5;1;540775;;;На специальном счете организации;0;Нет;;;;;;;
1963;Нет;Исправный;80;64;Не присвоен;4;;5;5;;334971;;;На счете регионального оператора;;;;;;;;;
1963;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334973;;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334976;;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;116;96;Не присвоен;6;;5;5;1;334974;3;;;;;;;;;;;
1964;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334975;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;79;64;Не присвоен;4;;5;5;1;334977;2;;;;;;;;;;;
1963;Нет;Исправный;38;32;Не присвоен;2;;5;5;1;334979;1;;;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334978;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334980;;;На счете регионального оператора;0;;;;;;;;
1964;Нет;Исправный;116;96;Не присвоен;6;;5;5;1;334981;4;;;;;;;;;;;
1963;Нет;Исправный;37;32;Не присвоен;3;;4;4;1;334982;2;;;;;;;;;;;
1988;Нет;Исправный;56;48;Не присвоен;4;;5;;1;646317;;;На счете регионального оператора;;;;;;;;;
1987;Нет;Исправный;56;48;;4;;;;1;1080773;;;;;Нет;Многоквартирный дом;;;;;;
1969;Нет;Исправный;52;32;Не присвоен;1;1;9;;1;646315;2;;На счете регионального оператора;;;;18;;;;;
1987;Нет;Исправный;55;48;Не присвоен;4;;5;;1;646316;1;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646319;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;177;76;Не присвоен;12;;5;;1;646318;1;;На счете регионального оператора;0;;;;;;;;
1966;Нет;Исправный;119;96;Не присвоен;8;;5;;1;646320;;;На счете регионального оператора;;;;;;;;;
1969;Нет;Исправный;53;;Не присвоен;1;1;9;;1;646321;1;;;;;;16;;;;;
1969;Нет;Исправный;60;56;Не присвоен;4;;5;;1;646322;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;60;56;Не присвоен;4;;5;;1;646323;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;89;80;Не присвоен;6;;5;;1;646324;1;;На счете регионального оператора;0;;;;;;;;
1965;Нет;Исправный;100;56;Не присвоен;6;;5;;;646325;1;;На счете регионального оператора;;;;;;;;;
1983;Нет;Исправный;99;40;A;6;;5;5;;540864;1;;;;;;20;;;;;
1975;Нет;Исправный;51;;Не присвоен;1;1;9;;1;646329;4;;;;;;48;;;;;
1967;Нет;Исправный;129;96;Не присвоен;8;;5;;1;646327;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;60;48;Не присвоен;4;;5;;1;646326;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;100;80;Не присвоен;6;;5;;2;646330;2;;На счете регионального оператора;0;;;;;;;;
1975;Нет;Исправный;60;56;Не присвоен;4;;5;;1;646334;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646332;1;;На счете регионального оператора;0;;;;;;;;
1987;Нет;Исправный;55;56;Не присвоен;4;;5;;1;646336;;;На счете регионального оператора;;;;;;;;;
1986;Нет;Исправный;84;80;Не присвоен;6;;5;;1;646335;;;На счете регионального оператора;;;;;;;;;
1973;Нет;Исправный;56;48;Не присвоен;4;;5;;1;646339;;;На счете регионального оператора;;;;;;;;;
1974;Нет;Исправный;56;48;Не присвоен;4;;5;;1;646338;;;На счете регионального оператора;;;;;;;;;
1986;Нет;Исправный;103;;Не присвоен;2;2;9;;1;646337;3;;;;;;68;;;;;
1966;Нет;Исправный;70;56;Не присвоен;4;;5;;1;646341;;;На счете регионального оператора;;;;;;;;;
1973;Нет;Исправный;90;75;Не присвоен;6;;5;;1;646343;4;;На счете регионального оператора;0;;;;;;;;
1973;Нет;Исправный;90;;;6;;5;;1;536393;;;;;;Многоквартирный дом;;;;;;
1973;Нет;Исправный;90;80;Не присвоен;6;;5;;1;646344;;;На счете регионального оператора;;;;;;;;;
1966;Нет;Исправный;129;76;Не присвоен;8;;5;;1;646345;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;100;66;Не присвоен;6;;5;;1;646346;;;На счете регионального оператора;;;;;;;;;
1968;Нет;Исправный;100;66;Не присвоен;6;;5;;1;646347;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646348;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;129;76;Не присвоен;8;;5;;1;646349;;;На счете регионального оператора;;;;;;;;;
1962;Нет;Исправный;80;64;Не присвоен;4;;5;5;1;334958;2;;;;;;;;;;;
1963;Нет;Исправный;60;48;Не присвоен;3;;5;5;1;334967;;;На счете регионального оператора;0;;;;;;;;
1963;Нет;Исправный;60;48;Не присвоен;3;;5;5;;334972;;;На счете регионального оператора;;;;;;;;;
1975;Нет;Исправный;51;;Не присвоен;1;1;9;;1;646328;2;;;;;;48;;;;;
1965;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646331;;;На счете регионального оператора;;;;;;;;;
1975;Нет;Исправный;60;48;Не присвоен;4;;5;;;646333;;;На счете регионального оператора;0;Нет;;;;;;;
1973;Нет;Исправный;56;46;Не присвоен;4;;5;;1;646340;;;На счете регионального оператора;;;;;;;;;
1967;Нет;Исправный;100;80;Не присвоен;6;;5;;1;646342;;;На счете регионального оператора;;;;;;;;;
1998;Нет;Исправный;40;78;Не присвоен;2;;5;1;1;546232;;;На счете регионального оператора;55;;;;;;;;
1963;Нет;Исправный;16;;Не присвоен;2;;3;3;;395558;;;На счете регионального оператора;0;Нет;;;;;;;
1984;Нет;Исправный;24;;Не присвоен;2;;3;3;;669588;2;;На счете регионального оператора;0;Нет;;;;;;;
1980;Нет;Исправный;89;72;С (Нормальный);6;;5;5;1;537950;;;На счете регионального оператора;;;;;;;;;
1980;Нет;Исправный;60;48;С (Нормальный);4;;5;5;1;537952;;;На счете регионального оператора;;;;;;;;;
1981;Нет;Исправный;89;72;С (Нормальный);6;;5;5;1;537953;;;На счете регионального оператора;;;;;;;;;
1988;Нет;Исправный;90;32;С (Нормальный);6;;5;5;1;537954;;;На счете регионального оператора;0;;;50;;;;;
1979;Нет;Исправный;27;15;Не присвоен;3;;3;3;1;537956;;;На счете регионального оператора;;;;;;;;;
1980;Нет;Исправный;27;15;Не присвоен;3;;3;3;1;537955;;;На счете регионального оператора;;;;;;;;;
1979;Нет;Исправный;36;;С (Нормальный);3;;4;4;1;537957;;;На счете регионального оператора;;;;27;;;;;
1985;Нет;Исправный;80;64;С (Нормальный);4;;5;5;1;537958;;;На специальном счете у регионального оператора;0;;;;;;;;
1962;Нет;Исправный;16;;;2;;;;;1230963;;;;;Нет;Многоквартирный дом;;;;;;
2011;Нет;Исправный;30;24;Не присвоен;2;;3;1;;538596;;;На специальном счете у регионального оператора;;Нет;;6;;;;;
2007;Нет;Исправный;155;44;B;4;4;10;7;1;159072;10;;;;;;176;;;;;
2007;Нет;Исправный;146;61;B;5;4;10;6;1;159075;7;;;;;;191;;;;;
2007;Нет;Исправный;164;54;B;6;5;10;6;1;159073;10;;;;;;146;;;;;
1990;Нет;Исправный;30;24;А (Очень высокий);2;;5;5;1;633149;;;На счете регионального оператора;0;;;;;;;;
1990;Нет;Исправный;30;24;В+ (Высокий);2;;5;1;1;633148;;;На счете регионального оператора;;;;;;;;;
1990;Нет;Исправный;89;72;В+ (Высокий);6;;5;1;1;633147;1;;На счете регионального оператора;;;;;;;;;
1982;Нет;Исправный;68;;;4;;;;;1183241;4;;;;Нет;;;;;;;
1982;Нет;Исправный;203;202;В+ (Высокий);6;6;9;1;;633150;1;;;;;;;;;;;
1983;Нет;Исправный;70;;Не присвоен;4;;5;;;540446;;;На специальном счете организации;518;Нет;Многоквартирный дом;;;;;;
1983;Нет;Исправный;180;95;А (Очень высокий);5;5;9;1;;633151;;;;;;;81;;;;;
1983;Нет;Исправный;264;260;В+ (Высокий);5;5;9;1;1;633152;;;На счете регионального оператора;;;;;;;;;
1986;Нет;Исправный;112;;;8;;5;1;;540447;;;На специальном счете организации;;Нет;;;;;;;
1985;Нет;Исправный;128;128;В+ (Высокий);4;4;10;1;;633153;2;;;;;;;;;;;
2012;Нет;Исправный;101;115;B;1;2;10;6;;160844;18;;;;;;;;;;;
1989;Нет;Исправный;162;108;А (Очень высокий);3;3;9;9;1;252512;;;;;;;;;;;;
1992;Нет;Исправный;108;;А (Очень высокий);2;2;9;9;1;252513;;;;;;;72;;;;;
1991;Нет;Исправный;90;90;А (Очень высокий);6;;5;5;1;252514;;;На счете регионального оператора;0;;;;;;;;
1995;Нет;Исправный;224;;А (Очень высокий);7;7;9;7;1;252515;2;;На счете регионального оператора;;;;224;;;;;
1995;Нет;Исправный;144;;А (Очень высокий);5;5;9;9;1;252516;;;;;;;180;;;;;
1995;Нет;Исправный;144;144;А (Очень высокий);4;4;9;9;;252517;;;На счете регионального оператора;0;;;;;;;;
1995;Нет;Исправный;36;36;;1;1;;;;252518;;;;;Нет;;;;;;;
1998;Нет;Исправный;144;;Не присвоен;4;4;9;9;1;540248;;;;;;;;;;;;
2008;Нет;Исправный;180;44;B;4;4;10;10;;159074;;;;;;;230;;;;;
2014;Нет;Исправный;132;22;;3;3;;;;1159938;;;;;Да;;156;;;;;
1995;Нет;Исправный;40;;А (Очень высокий);2;1;9;9;;1298859;;;;;;;;;;;;
2015;Нет;Исправный;144;178;A;4;4;9;9;1;159077;9;;;;;;72;;;;;
1960;Нет;Исправный;8;4;Не присвоен;1;;2;;;1305940;;;;;;;;;;;;
;Нет;Исправный;16;7;Не присвоен;3;;2;;1;851009;;;;;Нет;;;;;;;
1959;Нет;Исправный;;;Не присвоен;2;;3;3;1;918062;;;На счете регионального оператора;0;;;;;;;;
1954;Нет;Исправный;16;;Не присвоен;2;;2;2;1;918063;;;На счете регионального оператора;0;;;;;;;;
;Нет;Исправный;;;;;;;;;1218833;;;;;;Многоквартирный дом;;;;;365.3;
1953;Нет;Исправный;16;7;Не присвоен;3;;2;;1;918064;;;;;Нет;Многоквартирный дом;;;;;;
;Нет;Исправный;16;7;Не присвоен;3;;2;;1;918065;;;;;Нет;;;;;;;
2018;Нет;Исправный;6;;;1;;;;;1268240;;;;;;;;;;;;
2018;Нет;Исправный;;;;;;;;;1248392;;;;;;;;;;;;
2022;Нет;Исправный;;;;;;;;;1350118;;;;;;;;;;;;
2022;Нет;Исправный;;;;;;;;;1314835;;;;;;;;;;;;
1957;Нет;Исправный;18;;Не присвоен;2;;3;3;1;826510;;;На счете регионального оператора;;;;;;;;;
2010;Нет;Исправный;30;6;Не присвоен;2;;3;3;;538597;;;На счете регионального оператора;;;;23;;;;;
1942;Нет;Исправный;24;8;Не присвоен;2;;3;3;;669589;2;;На счете регионального оператора;;;;;;;;;
1954;Нет;Исправный;24;16;Не присвоен;2;;3;3;;669590;9;;На счете регионального оператора;;;;;;;;;
1956;Нет;Исправный;24;16;Не присвоен;2;;3;3;;669591;1;;На счете регионального оператора;;;;;;;;;
1941;Нет;Исправный;24;12;Не присвоен;2;;3;3;;669592;2;;На счете регионального оператора;;;;;;;;;
1961;Нет;Исправный;30;5;Не присвоен;3;;3;3;1;669593;;;На счете регионального оператора;;;;;;;;;
1963;Нет;Исправный;48;36;Не присвоен;4;;4;4;1;669594;1;;На счете регионального оператора;0;;;;;;;;
1993;Нет;Исправный;120;;Не присвоен;3;3;10;10;1;486581;;;На счете регионального оператора;;;;120;;;;;
1991;Нет;Исправный;213;89;Не присвоен;6;6;9;9;;486582;2;;На счете регионального оператора;;;;124;;;;;
1991;Нет;Исправный;107;;;3;3;;;1;1299234;1;;;;;;107;;;;;
2008;Нет;Исправный;158;;А (Очень высокий);4;4;10;10;1;252519;;;;;;;160;;;;;
1991;Нет;Исправный;239;95;Не присвоен;7;7;9;9;1;486584;7;;;;;;144;;;;;
1990;Нет;Исправный;60;48;Не присвоен;4;;5;5;;486585;;;На счете регионального оператора;0;;;;;;;;
1989;Нет;Исправный;60;48;Не присвоен;4;;5;5;1;486587;;;На счете регионального оператора;0;;;;;;;;
1991;Нет;Исправный;180;72;Не присвоен;5;5;9;9;;486586;;;На счете регионального оператора;;;;108;;;;;
1989;Нет;Исправный;60;30;;3;;;;1;1169666;;;;;;;30;;;;;
1989;Нет;Исправный;106;;Не присвоен;2;2;9;9;;486588;1;;;;;;106;;;;;
2012;Нет;Исправный;91;;А (Очень высокий);11;1;14;1;1;432402;6;;;;;;95;;;;;
1989;Нет;Исправный;72;18;;2;2;9;;;536774;;;;;Нет;Многоквартирный дом;54;;;;;
1990;Нет;Исправный;70;35;Не присвоен;2;2;9;9;;486590;1;;;;;;36;;;;;
1989;Нет;Исправный;108;;Не присвоен;2;2;9;9;1;486589;;;На счете регионального оператора;;;;108;;;;;
1990;Нет;Исправный;59;;;3;;5;;1;540227;1;;;;;;;;;;;
2007;Нет;Исправный;111;;Не присвоен;3;3;10;10;1;489532;6;;;;;;120;;;;;
1988;Нет;Исправный;66;36;В (Высокий);2;2;9;1;;266069;1;04.04.2016;;;;;31;;;;;
1981;Нет;Исправный;190;110;B;6;6;9;1;;475478;7;;;;;;80;;;;;
1988;Нет;Исправный;100;30;;5;;5;5;;540865;;;На специальном счете организации;;Нет;;30;;;;;
1993;Нет;Исправный;95;;С (Нормальный);1;2;16;16;1;266049;1;04.04.2016;На счете регионального оператора;;;;128;;;;;
1979;Нет;Исправный;171;171;B;1;1;9;1;1;475479;;;;;;;;;;;;
1993;Нет;Исправный;94;;С (Нормальный);1;2;16;16;1;266050;2;04.04.2016;На счете регионального оператора;;;;128;;;;;
1981;Нет;Исправный;184;106;B;6;6;9;1;1;475480;6;;На счете регионального оператора;;;;78;;;;;
1992;Нет;Исправный;94;;С (Нормальный);1;2;16;16;1;266051;2;04.04.2016;На счете регионального оператора;;;;128;;;;;
1987;Нет;Исправный;164;85;С (Нормальный);5;5;9;9;;266052;11;04.04.2016;;;;;90;;;;;
1985;Нет;Исправный;74;33;Не присвоен;1;2;13;13;;420897;4;;;;;;45;;;;;
1988;Нет;Исправный;102;55;С (Нормальный);3;3;9;9;;266054;6;04.04.2016;;;;;54;;;;;
1994;Нет;Исправный;94;50;Не присвоен;3;3;9;9;;420898;3;;;;;;48;;;;;
1977;Нет;Исправный;70;57;;4;;;;1;1137844;;;;;Нет;Многоквартирный дом;;26;;;;
2000;Нет;Исправный;82;24;C;1;2;14;14;1;535498;4;;;;;;123;;;;;
1976;Нет;Исправный;204;90;Не присвоен;6;6;9;9;;420900;12;;;;;;126;;;;;
1986;Нет;Исправный;135;;В+ (Высокий);4;4;9;1;;633154;9;;;;;;144;;;;;
1976;Нет;Исправный;216;90;Не присвоен;6;6;9;9;1;420901;;;На счете регионального оператора;;;;126;;;;;
1984;Нет;Исправный;100;80;Не присвоен;6;;5;5;1;633156;;;;;;;;;;;;
1986;Нет;Исправный;106;;В+ (Высокий);3;3;9;1;;633155;2;;;;;;106;;;;;
1985;Нет;Исправный;251;252;;8;8;;;1;486583;14;;;;;;;;;;;
1986;Нет;Исправный;119;;Не присвоен;8;;5;1;;540249;;;На специальном счете организации;0;Нет;;;;;;;
1984;Нет;Исправный;237;107;;7;7;;;1;420902;14;;;;;;141;;;;;
1984;Нет;Исправный;315;315;А (Очень высокий);10;10;9;9;;396533;3;15.06.2016;;;;;;;;;;
1985;Нет;Исправный;;;;;;;;;1117061;;;;;;;;;;;;
1985;Нет;Исправный;96;32;Не присвоен;3;3;9;9;;420903;4;;;;;;64;;;;;
1983;Нет;Исправный;85;36;;3;3;;;1;540422;5;;;;Нет;;54;;;;;
1991;Нет;Исправный;95;;B;1;2;14;14;;495970;4;;;;;;95;;;;;
1982;Нет;Исправный;288;288;А (Очень высокий);9;9;9;1;1;633158;;;На счете регионального оператора;;;;;;;;;
2018;Нет;Исправный;32;;;2;;;;;1086863;;;;;Нет;;32;;;;;
2018;Нет;Исправный;36;;;2;;;;;1086870;;;;;Нет;;40;;;;;
2018;Нет;Исправный;36;;;2;;;;;1086876;;;;;Нет;;40;;;;;
