number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
5764,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР. Д.7 [69, 143]",ТИХОРЕЦКИЙ ПР. Д.7,"Тихорецкий пр., Раевского пр.",94.143,"60.012976,30.368344"
5765,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР., УГ. ПР. НАУКИ","ТИХОРЕЦКИЙ ПР., УГ. ПР. НАУКИ","Тихорецкий пр., Науки пр.",93,"60.017184,30.367787"
5766,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР., 7","ТИХОРЕЦКИЙ ПР., 7","Тихорецкий проспект, проспект Раевского",94,"60.012854,30.368934"
5767,Автобус,Остановка,ТИХОРЕЦКИЙ ПР. [98],ТИХОРЕЦКИЙ ПР.,"Светлановский пр., Тихорецкий пр.",98,"60.019380,30.369216"
5768,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР.,УГ. ПР. НАУКИ [93]","ТИХОРЕЦКИЙ ПР.,УГ. ПР. НАУКИ","Науки пр., Тихорецкий пр.",93.94,"60.016421,30.369406"
5769,Автобус,Остановка,"ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР.","ТИХОРЕЦКИЙ ПР.,УГ. СЕВЕРНОГО ПР.","Северный проспект, проспект Культуры",143,"60.032305,30.364049"
5770,Автобус,Остановка,"ТК ""ЛЕНТА""","ГИПЕРМАРКЕТ ""ЛЕНТА""",Хасанская ул.,"15,24,102,153,169,174","59.935503,30.494858"
5771,Автобус,Остановка,ТК КОНТИНЕНТ,ТК КОНТИНЕНТ,"Маршала Казакова ул., Стачек пр.","2А,26,201,229,300","59.859735,30.247314"
5772,Автобус,Остановка,ТК КОНТИНЕНТ,ТК КОНТИНЕНТ,"ул. Маршала Казакова, проспект Стачек","2А,26,201,229,300","59.859355,30.248737"
5773,Автобус,Остановка,"ТК ""ЛЕНТА""","ТК ""ЛЕНТА""",3-й Бадаевский проезд,"179,192,196,388","59.798180,30.404439"
5774,Автобус,Остановка,"ТК ""ЛЕНТА"" [109]","ТК ""ЛЕНТА""","Выборгское ш., Елизаветинская ул.","109,109А,109Б","60.047107,30.312778"
5775,Автобус,Остановка,"ТК ""ЛЕНТА"" [109]","ТК ""ЛЕНТА""","Выборгское ш., Елизаветинская ул.","109,109А,109Б","60.047589,30.313421"
5776,Автобус,Остановка,ТОВАРИЩЕСКИЙ ПР.,ТОВАРИЩЕСКИЙ ПР.,"Товарищеский проспект, улица Коллонтай",118.161,"59.922395,30.478368"
5777,Автобус,Остановка,ТОВАРИЩЕСКИЙ ПР.,ТОВАРИЩЕСКИЙ ПР.,"улица Дыбенко, Товарищеский проспект","4,191,469,469А","59.908717,30.491685"
5778,Автобус,Остановка,ТОВАРИЩЕСКИЙ ПР. [],ТОВАРИЩЕСКИЙ ПР.,"улица Подвойского, Товарищеский проспект","97,161,164","59.915292,30.486068"
5779,Автобус,Остановка,ТОВАРИЩЕСКИЙ ПР. [],ТОВАРИЩЕСКИЙ ПР.,"улица Дыбенко, Товарищеский проспект",4.191,"59.908685,30.490322"
5780,Автобус,Остановка,ТОВАРИЩЕСКИЙ ПР. []<,ТОВАРИЩЕСКИЙ ПР.,"улица Подвойского, Товарищеский проспект","97,161,164","59.915109,30.484293"
5781,Автобус,Остановка,"ТОВАРИЩЕСКИЙ ПР. [12, 118, 140]",ТОВАРИЩЕСКИЙ ПР.,"ул. Коллонтай, Товарищеский пр.","12,118,140,161,164","59.921710,30.477759"
5782,Автобус,Остановка,"ТОВАРИЩЕСКИЙ ПР. [12, 118, 140]<",ТОВАРИЩЕСКИЙ ПР.,"Коллонтай ул., Товарищеский пр.","12,140,164","59.921723,30.479726"
5783,Автобус,Остановка,"ТОРГОВАЯ ПЛОЩАДЬ [351, 356, 210, 200, 359]",ТОРГОВАЯ ПЛОЩАДЬ,"Санкт-Петербургский проспект, Санкт-Петербургское шоссе","200,210,348,350,351А,351Б,356,359","59.879350,29.914450"
5784,Автобус,Остановка,"ТОРГОВЫЙ КОМПЛЕКС ""ЛЕНТА"" [13, 13А]","ТОРГОВЫЙ КОМПЛЕКС ""ЛЕНТА""","Стартовая улица, Шереметьевская улица","13,13А","59.810196,30.318371"
5785,Автобус,Остановка,"ТОРГОВЫЙ КОМПЛЕКС ""ЛЕНТА"" [13, 13А]<","ТОРГОВЫЙ КОМПЛЕКС ""ЛЕНТА""","Стартовая улица, Шереметьевская улица","13,13А","59.809991,30.318443"
5786,Автобус,Остановка,"ТОРГОВЫЙ ПОРТ [71, 22]",ТОРГОВЫЙ ПОРТ,"Виндавская ул., Межевой канал","22,43,71","59.910254,30.251515"
5787,Автобус,Остановка,ТОРГОВЫЙ ЦЕНТР,ТОРГОВЫЙ ЦЕНТР,Ветеранов пр.,"68,88,130,145,145А,160","59.837851,30.231564"
